rally_cum,game,track,frames,appearance,appearance_frac,carried,agree
110,3,4,5,Bright,1.00,UNNAMED,0
112,3,8,11,Bright,0.36,Alshon,0
112,3,2,29,Patriquin,0.69,Bright,0
112,3,4,30,Black,0.67,Black,1
112,3,9,1,Bright,1.00,UNNAMED,0
112,3,5,15,Patriquin,0.47,Patriquin,1
112,3,11,7,Bright,1.00,UNNAMED,0
112,3,12,14,Bright,1.00,UNNAMED,0
112,3,13,8,Bright,1.00,UNNAMED,0
113,3,3,14,Bright,1.00,Bright,1
113,3,2,11,Black,1.00,Black,1
113,3,4,15,Bright,1.00,UNNAMED,0
113,3,0,1,Patriquin,1.00,Patriquin,1
114,3,18,15,Patriquin,0.93,Patriquin,1
114,3,17,18,Alshon,0.50,Alshon,1
114,3,19,28,Black,0.64,Black,1
114,3,20,30,Patriquin,0.93,Bright,0
114,3,24,1,Bright,1.00,UNNAMED,0
114,3,23,5,Bright,1.00,UNNAMED,0
114,3,25,2,Bright,1.00,UNNAMED,0
114,3,26,2,Bright,1.00,UNNAMED,0
114,3,27,2,Bright,1.00,UNNAMED,0
116,3,1,25,Patriquin,0.60,Black,0
116,3,3,14,Patriquin,0.93,Patriquin,1
116,3,5,28,Black,0.68,Alshon,0
116,3,0,9,Patriquin,0.67,Bright,0
116,3,8,10,Bright,1.00,UNNAMED,0
116,3,9,3,Bright,1.00,UNNAMED,0
116,3,10,1,Bright,1.00,UNNAMED,0
116,3,12,1,Bright,1.00,UNNAMED,0
118,3,3,15,Black,1.00,Black,1
118,3,0,15,Bright,1.00,Patriquin,0
118,3,2,3,Bright,1.00,Bright,1
118,3,1,8,Alshon,1.00,Alshon,1
120,3,14,29,Black,0.62,Black,1
120,3,16,28,Bright,0.54,Alshon,0
120,3,15,15,Bright,0.67,Patriquin,0
120,3,13,12,Alshon,0.58,Bright,0
120,3,19,6,Bright,1.00,UNNAMED,0
120,3,21,5,Bright,1.00,UNNAMED,0
124,3,26,14,Black,0.79,Black,1
124,3,27,11,Patriquin,0.82,Patriquin,1
124,3,30,3,Bright,1.00,UNNAMED,0
124,3,29,13,Bright,1.00,UNNAMED,0
124,3,28,12,Patriquin,1.00,Alshon,0
124,3,25,8,Bright,0.75,Bright,1
124,3,32,2,Bright,1.00,UNNAMED,0
126,3,2,15,Patriquin,1.00,Bright,0
126,3,4,11,Bright,1.00,Patriquin,0
126,3,11,3,Bright,1.00,UNNAMED,0
126,3,9,8,Black,0.88,Black,1
126,3,10,3,Bright,1.00,Alshon,0
131,3,18,19,Black,0.95,Black,1
131,3,15,24,Patriquin,1.00,UNNAMED,0
131,3,21,8,Bright,1.00,Bright,1
131,3,19,9,Bright,0.56,UNNAMED,0
131,3,22,2,Bright,1.00,UNNAMED,0
140,3,5,32,Patriquin,0.88,Bright,0
140,3,6,20,Patriquin,0.70,Patriquin,1
140,3,8,49,Black,0.51,Black,1
140,3,10,10,Bright,1.00,UNNAMED,0
140,3,9,26,Patriquin,0.65,Alshon,0
140,3,12,2,Bright,1.00,UNNAMED,0
140,3,14,1,Bright,1.00,UNNAMED,0
