t_s,rms,cheer_2_8k
175.25,0.08657,0.0002803
175.50,0.08268,0.0002665
175.75,0.07561,0.0002616
176.00,0.07352,0.0002802
176.25,0.07061,0.0002570
176.50,0.07299,0.0002971
176.75,0.07559,0.0002883
177.00,0.07108,0.0002489
177.25,0.07603,0.0002273
177.50,0.07715,0.0001961
177.75,0.06636,0.0001763
178.00,0.05265,0.0002813
178.25,0.03574,0.0001214
178.50,0.03556,0.0001118
178.75,0.04157,0.0001325
179.00,0.03627,0.0001322
179.25,0.03160,0.0001079
179.50,0.03306,0.0000935
179.75,0.02801,0.0000828
180.00,0.01740,0.0000849
180.25,0.01759,0.0000555
180.50,0.01958,0.0000486
180.75,0.03478,0.0000608
181.00,0.04496,0.0000561
181.25,0.05905,0.0000797
181.50,0.05157,0.0000535
181.75,0.01533,0.0000402
182.00,0.05415,0.0000944
182.25,0.06733,0.0001132
182.50,0.07164,0.0001480
182.75,0.07853,0.0001339
183.00,0.07436,0.0002382
183.25,0.05712,0.0001303
183.50,0.03219,0.0000704
183.75,0.05738,0.0001750
184.00,0.06889,0.0001384
184.25,0.06931,0.0001962
184.50,0.07343,0.0001760
184.75,0.07136,0.0002036
185.00,0.05422,0.0001091
185.25,0.04135,0.0000704
185.50,0.04661,0.0001305
185.75,0.03936,0.0001026
186.00,0.03130,0.0000983
186.25,0.03261,0.0001195
186.50,0.03134,0.0001037
186.75,0.02034,0.0000683
187.00,0.01411,0.0000665
187.25,0.01311,0.0000669
187.50,0.01378,0.0000540
187.75,0.03887,0.0001214
188.00,0.04495,0.0001220
188.25,0.03911,0.0001092
188.50,0.03491,0.0000856
188.75,0.01883,0.0000468
189.00,0.00941,0.0000305
189.25,0.00792,0.0000272
189.50,0.00728,0.0000195
189.75,0.00637,0.0000171
190.00,0.00608,0.0000213
190.25,0.01754,0.0000280
190.50,0.02815,0.0001242
190.75,0.02448,0.0000737
191.00,0.01519,0.0000446
191.25,0.02344,0.0000397
191.50,0.03982,0.0000749
191.75,0.04142,0.0001592
192.00,0.02660,0.0000995
192.25,0.02131,0.0000628
192.50,0.02190,0.0000669
192.75,0.02399,0.0000474
193.00,0.02314,0.0000718
193.25,0.02021,0.0000613
193.50,0.02377,0.0001022
193.75,0.03158,0.0000978
194.00,0.03124,0.0000844
194.25,0.01893,0.0000564
194.50,0.02168,0.0000587
194.75,0.02220,0.0000442
195.00,0.02343,0.0001099
195.25,0.03620,0.0001068
195.50,0.03206,0.0000828
195.75,0.03068,0.0000749
196.00,0.03447,0.0001238
196.25,0.02278,0.0000654
196.50,0.03368,0.0001061
196.75,0.06819,0.0001500
197.00,0.08826,0.0002577
197.25,0.08943,0.0002721
197.50,0.09819,0.0003643
197.75,0.09619,0.0004125
198.00,0.08247,0.0003165
198.25,0.08389,0.0003128
198.50,0.08165,0.0003180
198.75,0.08036,0.0003173
199.00,0.08597,0.0003653
199.25,0.09114,0.0003765
199.50,0.09168,0.0002632
199.75,0.08500,0.0003165
200.00,0.08412,0.0002805
200.25,0.08950,0.0002730
200.50,0.08794,0.0003053
200.75,0.08474,0.0002287
201.00,0.08256,0.0001970
201.25,0.07993,0.0002651
201.50,0.07442,0.0002061
201.75,0.07765,0.0001805
202.00,0.08005,0.0001520
202.25,0.06211,0.0002415
202.50,0.05108,0.0002543
202.75,0.05711,0.0001966
203.00,0.05817,0.0001630
203.25,0.05784,0.0001097
203.50,0.06798,0.0003161
