rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid,state_check
99,2,99,,,1388.5,1391.8,17.0,17.0,0,-2.7,10-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,bugstate
100,2,100,,,2676.0,2694.0,18.0,18.0,1,1.3,10-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
101,2,101,,,2696.5,2712.5,16.0,16.0,1,2.5,8-10-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
102,2,102,,,2720.0,2736.0,16.0,16.0,1,-0.5,9-10-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
103,2,103,,,2735.1,2749.1,14.0,14.0,1,4.9,9-10-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
104,2,104,,,2763.8,2780.8,17.0,17.0,1,-7.7,10-9-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
105,3,105,,,2860.0,2887.0,27.0,27.0,1,225.8,0-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
106,3,106,,,2887.6,2905.6,18.0,18.0,1,3.4,1-0-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
107,3,107,,,2911.6,2925.6,14.0,14.0,1,-2.0,0-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
108,3,108,,,2927.6,2951.6,24.0,24.0,1,-1.0,1-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
109,3,109,,,2951.2,2963.2,12.0,12.0,1,8.4,2-1-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
110,3,110,,,2964.6,2980.6,16.0,16.0,1,2.6,2-1-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
111,3,111,,,2986.1,3007.1,21.0,21.0,1,-0.5,1-2-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
112,3,112,,,3011.5,3023.5,12.0,12.0,1,0.6,2-2-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
113,3,113,,,3037.0,3054.0,17.0,17.0,1,-9.5,2-2-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
114,3,114,,,3071.8,3079.8,8.0,8.0,1,-12.8,2-2-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
115,3,115,,,3082.8,3099.8,17.0,17.0,1,-2.0,2-2-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
116,3,116,,,3100.6,3120.6,20.0,20.0,1,1.2,3-2-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
117,3,117,,,3123.4,3139.4,16.0,16.0,1,3.2,2-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
118,3,118,,,3155.8,3173.8,18.0,18.0,1,-12.4,3-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
119,3,119,,,3173.8,3213.8,40.0,40.0,1,5.0,4-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
120,3,120,,,3217.7,3230.7,13.0,13.0,1,5.1,5-3-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
121,3,121,,,3231.8,3242.8,11.0,11.0,1,3.9,5-3-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
122,3,122,,,3248.9,3263.9,15.0,15.0,1,-1.1,3-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
123,3,123,,,3268.9,3289.9,21.0,21.0,1,0.0,4-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
124,3,124,,,3296.1,3296.1,0.0,0.0,1,24.8,5-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
125,3,125,,,3305.5,3305.5,0.0,0.0,1,-9.4,4-5-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
126,3,126,,,3319.6,3346.6,27.0,27.0,1,15.9,4-5-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
127,3,127,,,3354.7,3373.7,19.0,19.0,1,-0.1,5-5-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
128,3,128,,,3382.3,3398.3,16.0,16.0,1,-2.6,5-5-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
129,3,129,,,3401.0,3414.0,13.0,13.0,1,5.3,5-5-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
130,3,130,,,3415.1,3438.1,23.0,23.0,1,1.9,5-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
131,3,131,,,3445.5,3478.5,33.0,33.0,1,-4.4,6-5-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
