rally,slot,match_id,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
77,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:59:38+00:00,2026-07-25T18:59:52+00:00,14.0,3.0,14.0,1-0-2,0-1-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
78,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:59:55+00:00,2026-07-25T19:00:27+00:00,32.0,1.0,32.0,0-1-1,0-1-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
79,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:00:28+00:00,2026-07-25T19:00:41+00:00,13.0,3.0,13.0,0-1-2,1-0-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
80,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:00:44+00:00,2026-07-25T19:01:07+00:00,23.0,9.0,23.0,1-0-1,1-0-2,second,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
81,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:01:16+00:00,2026-07-25T19:01:34+00:00,18.0,4.0,18.0,1-0-2,0-1-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
82,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:01:38+00:00,2026-07-25T19:01:48+00:00,10.0,1.0,10.0,0-1-1,0-1-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
83,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:01:49+00:00,2026-07-25T19:02:17+00:00,28.0,17.0,28.0,0-1-2,1-1-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
84,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:02:34+00:00,2026-07-25T19:02:53+00:00,19.0,2.0,19.0,1-1-2,1-1-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
85,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:02:55+00:00,2026-07-25T19:03:08+00:00,13.0,1.0,13.0,1-1-1,2-1-1,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,676b1cbc-766c-4616-bf39-1787ffd8c72a
86,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:03:09+00:00,2026-07-25T19:03:47+00:00,38.0,2.0,38.0,2-1-1,3-1-1,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
87,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:03:49+00:00,2026-07-25T19:04:13+00:00,24.0,4.0,24.0,3-1-1,4-1-1,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,676b1cbc-766c-4616-bf39-1787ffd8c72a
88,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:04:17+00:00,2026-07-25T19:04:32+00:00,15.0,6.0,15.0,4-1-1,4-1-2,second,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
89,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:04:38+00:00,2026-07-25T19:04:54+00:00,16.0,3.0,16.0,4-1-2,5-1-2,point,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
90,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:04:57+00:00,2026-07-25T19:05:18+00:00,21.0,9.0,21.0,5-1-2,1-5-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,88fb0858-b9c3-4620-9408-0dda0eb241ef
91,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:05:27+00:00,2026-07-25T19:05:48+00:00,21.0,4.0,21.0,1-5-1,2-5-1,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
92,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:05:52+00:00,2026-07-25T19:06:04+00:00,12.0,0.0,12.0,2-5-1,2-5-2,second,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
93,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:06:04+00:00,2026-07-25T19:06:25+00:00,21.0,1.0,21.0,2-5-2,3-5-2,point,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
94,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:06:26+00:00,2026-07-25T19:06:44+00:00,18.0,2.0,18.0,3-5-2,4-5-2,point,88fb0858-b9c3-4620-9408-0dda0eb241ef,29e8121d-6f86-4192-b7af-ab05b77b89fe
95,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:06:46+00:00,2026-07-25T19:07:15+00:00,29.0,4.0,29.0,4-5-2,5-4-1,sideout,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
96,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:07:19+00:00,2026-07-25T19:07:31+00:00,12.0,0.0,12.0,5-4-1,5-4-2,second,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
97,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:07:31+00:00,2026-07-25T19:07:49+00:00,18.0,10.0,18.0,5-4-2,4-5-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
98,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:07:59+00:00,2026-07-25T19:08:22+00:00,23.0,0.0,23.0,4-5-1,4-5-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
99,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:08:22+00:00,2026-07-25T19:08:39+00:00,17.0,2.0,17.0,4-5-2,5-4-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
100,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:08:41+00:00,2026-07-25T19:09:04+00:00,23.0,1.0,23.0,5-4-1,5-4-2,second,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
101,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T19:09:05+00:00,2026-07-25T19:09:20+00:00,15.0,9.0,15.0,5-4-2,4-5-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
