t_s,player,x_ft,y_ft
15.393,Allyce Jones,15.35,29.58
15.393,Emma Nelson,6.4,8.88
15.393,Etta Tuionetoa,6.36,29.27
15.393,Ting Chieh Wei,17.15,7.25
15.443,Allyce Jones,15.26,29.6
15.443,Emma Nelson,6.38,8.88
15.443,Etta Tuionetoa,6.35,29.27
15.443,Ting Chieh Wei,17.15,7.25
15.493,Allyce Jones,15.18,29.63
15.493,Emma Nelson,6.35,8.88
15.493,Etta Tuionetoa,6.32,29.27
15.493,Ting Chieh Wei,17.1,7.22
15.543,Allyce Jones,15.12,29.64
15.543,Emma Nelson,6.3,8.95
15.543,Etta Tuionetoa,6.29,29.27
15.543,Ting Chieh Wei,17.01,7.14
15.593,Allyce Jones,15.08,29.66
15.593,Emma Nelson,6.25,8.98
15.593,Etta Tuionetoa,6.26,29.27
15.593,Ting Chieh Wei,16.96,7.14
15.643,Allyce Jones,15.04,29.67
15.643,Emma Nelson,6.22,9.02
15.643,Etta Tuionetoa,6.23,29.27
15.643,Ting Chieh Wei,16.93,7.2
15.693,Allyce Jones,15.02,29.68
15.693,Emma Nelson,6.2,9.05
15.693,Etta Tuionetoa,6.19,29.29
15.693,Ting Chieh Wei,16.86,7.26
15.743,Allyce Jones,14.96,29.68
15.743,Emma Nelson,6.17,9.06
15.743,Etta Tuionetoa,6.11,29.32
15.743,Ting Chieh Wei,16.78,7.29
15.793,Allyce Jones,14.89,29.69
15.793,Emma Nelson,6.1,9.08
15.793,Etta Tuionetoa,6.04,29.32
15.793,Ting Chieh Wei,16.62,7.32
15.843,Allyce Jones,14.79,29.71
15.843,Emma Nelson,6.03,9.12
15.843,Etta Tuionetoa,5.99,29.35
15.843,Ting Chieh Wei,16.41,7.34
15.893,Allyce Jones,14.67,29.72
15.893,Emma Nelson,5.96,9.14
15.893,Etta Tuionetoa,5.91,29.35
15.893,Ting Chieh Wei,16.18,7.55
15.943,Allyce Jones,14.52,29.73
15.943,Emma Nelson,5.9,9.4
15.943,Etta Tuionetoa,5.79,29.35
15.943,Ting Chieh Wei,15.83,8.3
15.993,Allyce Jones,14.38,29.74
15.993,Emma Nelson,5.85,9.95
15.993,Etta Tuionetoa,5.69,29.35
15.993,Ting Chieh Wei,15.7,8.83
16.043,Allyce Jones,14.28,29.82
16.043,Emma Nelson,5.81,10.57
16.043,Etta Tuionetoa,5.56,29.35
16.043,Ting Chieh Wei,15.69,8.89
16.093,Allyce Jones,14.24,29.84
16.093,Emma Nelson,5.81,10.67
16.093,Etta Tuionetoa,5.41,29.37
16.093,Ting Chieh Wei,15.64,8.94
16.143,Allyce Jones,14.18,29.84
16.143,Emma Nelson,5.81,10.71
16.143,Etta Tuionetoa,5.26,29.39
16.143,Ting Chieh Wei,15.54,9.01
16.193,Allyce Jones,14.06,29.85
16.193,Emma Nelson,5.81,10.76
16.193,Etta Tuionetoa,5.12,29.39
16.193,Ting Chieh Wei,15.45,9.07
16.243,Allyce Jones,13.91,29.88
16.243,Emma Nelson,5.81,10.77
16.243,Etta Tuionetoa,4.95,29.39
16.243,Ting Chieh Wei,15.31,9.15
16.293,Allyce Jones,13.73,29.9
16.293,Emma Nelson,5.81,10.77
16.293,Etta Tuionetoa,4.8,29.39
16.293,Ting Chieh Wei,15.03,9.25
16.343,Allyce Jones,13.64,29.9
16.343,Emma Nelson,5.84,10.77
16.343,Etta Tuionetoa,4.65,29.62
16.343,Ting Chieh Wei,14.71,9.33
16.393,Allyce Jones,13.61,29.9
16.393,Emma Nelson,5.92,10.75
16.393,Etta Tuionetoa,4.47,29.87
16.393,Ting Chieh Wei,14.37,9.57
16.443,Allyce Jones,13.58,29.9
16.443,Emma Nelson,6.05,10.75
16.443,Etta Tuionetoa,4.3,29.92
16.443,Ting Chieh Wei,14.06,9.73
16.493,Allyce Jones,13.54,29.9
16.493,Emma Nelson,6.18,10.72
16.493,Etta Tuionetoa,4.18,29.96
16.493,Ting Chieh Wei,13.91,9.79
16.543,Allyce Jones,13.51,29.78
16.543,Emma Nelson,6.26,10.7
16.543,Etta Tuionetoa,4.12,29.99
16.543,Ting Chieh Wei,13.85,9.83
16.593,Allyce Jones,13.48,29.69
16.593,Emma Nelson,6.27,10.67
16.593,Etta Tuionetoa,4.12,29.99
16.593,Ting Chieh Wei,13.79,9.87
16.643,Allyce Jones,13.44,29.65
16.643,Emma Nelson,6.27,10.64
16.643,Etta Tuionetoa,4.12,29.99
16.643,Ting Chieh Wei,13.72,9.89
16.693,Allyce Jones,13.43,29.65
16.693,Emma Nelson,6.27,10.63
16.693,Etta Tuionetoa,4.12,29.99
16.693,Ting Chieh Wei,13.6,9.98
16.743,Allyce Jones,13.43,29.63
16.743,Emma Nelson,6.27,10.57
16.743,Etta Tuionetoa,4.12,29.95
16.743,Ting Chieh Wei,13.49,10.21
16.793,Allyce Jones,13.43,29.62
16.793,Emma Nelson,6.27,10.49
16.793,Etta Tuionetoa,4.17,29.92
16.793,Ting Chieh Wei,13.4,10.28
16.843,Allyce Jones,13.43,29.62
16.843,Emma Nelson,6.27,10.3
16.843,Etta Tuionetoa,4.24,29.87
16.843,Ting Chieh Wei,13.4,10.28
16.893,Allyce Jones,13.43,29.62
16.893,Emma Nelson,6.27,10.24
16.893,Etta Tuionetoa,4.4,29.66
16.893,Ting Chieh Wei,13.4,10.28
16.943,Allyce Jones,13.46,29.64
16.943,Emma Nelson,6.26,10.1
16.943,Etta Tuionetoa,4.63,29.59
16.943,Ting Chieh Wei,13.4,10.28
16.993,Allyce Jones,13.46,29.65
16.993,Emma Nelson,6.25,9.92
16.993,Etta Tuionetoa,4.92,29.58
16.993,Ting Chieh Wei,13.4,10.28
17.043,Allyce Jones,13.46,29.69
17.043,Emma Nelson,6.22,9.67
17.043,Etta Tuionetoa,5.29,29.58
17.043,Ting Chieh Wei,13.41,10.27
17.093,Allyce Jones,13.46,29.94
17.093,Emma Nelson,6.21,9.53
17.093,Etta Tuionetoa,5.31,29.57
17.093,Ting Chieh Wei,13.44,10.2
17.143,Allyce Jones,13.46,30.08
17.143,Emma Nelson,6.21,9.52
17.143,Etta Tuionetoa,5.31,29.56
17.143,Ting Chieh Wei,13.47,10.18
17.193,Allyce Jones,13.45,30.25
17.193,Emma Nelson,6.19,9.5
17.193,Etta Tuionetoa,5.31,29.55
17.193,Ting Chieh Wei,13.51,10.18
17.243,Allyce Jones,13.41,30.37
17.243,Emma Nelson,6.16,9.39
17.243,Etta Tuionetoa,5.31,29.55
17.243,Ting Chieh Wei,13.51,10.18
17.293,Allyce Jones,13.4,30.42
17.293,Emma Nelson,6.08,9.39
17.293,Etta Tuionetoa,5.31,29.56
17.293,Ting Chieh Wei,13.51,10.18
17.343,Allyce Jones,13.37,30.46
17.343,Emma Nelson,5.98,9.39
17.343,Etta Tuionetoa,5.14,29.56
