p1_name,p2_name,chem_logit_mean,chem_logit_sd
Caden Nemoff,Rob Cassidy,-0.0005,0.0471
Averee Beck,Cloe Murillo,0.0009,0.0488
Reyna Ash,Dana Raugust,0.0121,0.0466
Carlota Trevino,Lucah Folden,0.0018,0.053
Jaume Martinez Vich,CJ Klinger,-0.0048,0.0458
Ernie Garcia,Cooper Fratt,-0.0002,0.0488
Eric Gilbert,Ryan Gilbert,-0.0009,0.047
Dominique Canale,Sienna Susko,-0.0077,0.0503
Louie Payetta,Rob Hutchins,-0.0038,0.0483
Mario Barrientos,Jose Farias,0.0024,0.0485
Chloe Igleski,Ella Boydston,-0.01,0.0526
Rachael James,Jessica Wilcox,-0.0018,0.0488
Daria Walczak,Marcela Aguila Ampon,0.0057,0.0485
Danielle Taufa,Samantha Parker,0.003,0.0507
Alexis Saucerman,Jessica Mason,0.0074,0.0484
Jonny Pickleball Andrews,Keith Read,0.0164,0.0494
Lauren Wong,Brenna Murray,-0.0085,0.0529
Andrea Koop,Tina Pisnik,-0.0108,0.0489
Nicole Eugenio,Malia K Lum,0.0017,0.0487
Zane Navratil,Erik Lange,0.0142,0.0471
Ashlee Candelaria,Audrey Adele Brown,0.0009,0.0497
Courtney McIntosh,Camila Garcia Wright,0.0019,0.05
Pesa Teoni,Etienne Blaszkewycz,0.0027,0.0482
Allison Phillips,Paige Miles,0.0016,0.0509
Eric Roddy,Aanik Lohani,0.0121,0.0476
Lingwei Kong,Ava Ignatowich,-0.006,0.0482
Brandon French,Donald Young,-0.0071,0.0497
Adrian Legarreta,Rio Newcombe,-0.0023,0.0502
Sarah Pham,Sarah Hua,-0.007,0.0482
Samantha Goldenhersh,Cori Elliott,0.0026,0.0476
Ross Whittaker,Casey Diamond,-0.0166,0.0471
Dorothy Zerbst,Madeline Saunders,-0.006,0.0512
Allison Chuang,Alexis Nelson,0.0113,0.0476
John Cincola,Wyatt Stone,0.0074,0.0493
Mary Monson,Deserea Dunn,-0.0004,0.0482
Kenadi Hance,Emilia Schmidt,-0.0014,0.0499
Ernesto Russo,Sarah Ansboury,-0.0037,0.0495
Daria Walczak,Craig Johnson,-0.0006,0.0489
Joshua Reason,Zak Parks,0.0172,0.0488
John Macauley,Kallan Arledge,-0.0065,0.0507
Cami Blake,Robert Baylon,0.0073,0.049
Jalen Fuhriman,Justin Fullmer,-0.0026,0.0509
Garrett Blair,Dalton Robinson,0.002,0.0496
Michael Parra,Chris Chakkaw,-0.002,0.0448
Madeline Schulte,Drake Palm,0.0006,0.051
Chloe Igleski,Thatcher Schwendiman,-0.0037,0.0508
Dalia Garza,Pesa Teoni,0.0056,0.0518
Sabrina Guillebeaux,Quan Do,-0.0101,0.0468
Megan Fudge,Martin Emmrich,0.0169,0.0494
Tatiana Ruhl,Claudio Quinones Garcia,0.0054,0.0488
Benjamin Bramblett,Domenika Turkovic,0.0056,0.0477
Rachael James,Erik Forsythe,0.0062,0.0499
Cassidy Hoag,Darrian Young,0.0016,0.0477
Quan Do,Ryan Gilbert,0.0024,0.049
Nick Black,Jordan Bridge,-0.01,0.0494
Zaen Affleck,Gregorie Vinueza-Daly,-0.0019,0.0468
Alex Fillat Perez,Adrian Legarreta,0.0082,0.0531
Koa Pagaoa,Bryan Castanon,-0.0082,0.0492
Santhosh Narayanan,Noah Zwiren,0.0039,0.0454
Kace Heiner,Tyler Holbrook,-0.0002,0.0478
Jessica Mason,Lucah Folden,-0.0002,0.0478
Bobbi Oshiro,Milan Rane,0.0106,0.0491
Elizabeth Skufca,Victoria Yu,-0.0021,0.0519
Max Green,Robert Baylon,-0.0038,0.0513
Ivy Tschetter,Emma Nelson,-0.0005,0.0503
Audrey Adele Brown,Zachary Grabovic,0.0167,0.0479
Ewa Radzikowska,Todd Fought,-0.0019,0.0492
Wesley Miller,Jack Marsh,0.0023,0.0526
Chase Ora,Farzin Amiri,-0.0039,0.0488
Daria Walczak,Christa Gecheva,0.0073,0.0453
Polina Libo,Amanda Jarrett,0.003,0.0499
