player_id,name,gender,games,b_adjusted,se,z,clutch_shrunk,shrunk_sd
f8917832-134f-4323-a2f2-ac19251c6e01,Sarah Williams,F,63,0.002301,0.012739,0.181,0.000926,0.004680
9034d36a-1b11-4c9d-ad75-5c665d87b8c5,Pierina Imparato,F,263,0.001163,0.006539,0.178,0.000879,0.003988
6160a7c7-6b90-41f1-96d3-af5fa1623ca5,Collin Johns,M,494,0.001018,0.004630,0.220,0.000877,0.003407
f6e249dc-5bb9-483a-a99f-df364df93341,Kelly Goodnow,F,68,0.002049,0.013457,0.152,0.000875,0.004714
481d9fef-ed7a-4fc9-9d19-a4f9b5a57d56,Ella Cosma,F,75,0.001690,0.012172,0.139,0.000854,0.004651
5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,F,361,0.001001,0.005494,0.182,0.000843,0.003711
2a490031-a7b4-4833-8d61-b9970960d2dc,Monika Wynne,F,109,0.001480,0.011095,0.133,0.000842,0.004583
14c4c96f-0a49-4d07-b16d-f6cb782491f4,Kentaro Hamaguchi,M,96,0.001421,0.010881,0.131,0.000836,0.004568
719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,276,0.000861,0.006240,0.138,0.000770,0.003917
1e538b1f-66e9-4166-ac60-3aef311ee0b5,Jada Bui,F,84,0.000978,0.010749,0.091,0.000759,0.004558
7b85c35f-6a90-4c61-af0b-565658feeb3c,Freddie Powell,M,130,0.000828,0.008762,0.095,0.000740,0.004364
b35ed876-bcdc-4024-9746-fe1bcb3957f5,John Cincola,M,198,0.000751,0.007745,0.097,0.000723,0.004220
ab53383d-abb2-4bcf-adea-398e6c6dd36a,Cleo Bond,F,61,0.000580,0.016542,0.035,0.000700,0.004815
571d4503-e073-4580-a555-be3c7f93c59c,Chuck Taylor,M,239,0.000668,0.006815,0.098,0.000696,0.004048
051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,141,0.000640,0.009414,0.068,0.000695,0.004438
55dbee1f-1ee7-464b-9c80-d14cd9e44b8d,Carlos Di Laura III,M,138,0.000586,0.009509,0.062,0.000684,0.004448
602ac701-c27e-408d-9e4e-1f7c02578def,Tam Trinh,M,99,0.000366,0.011013,0.033,0.000651,0.004577
a0582749-fb23-42cc-98ed-1915464c4814,Luke Wasson,M,182,0.000516,0.007364,0.070,0.000649,0.004155
53b056f9-095a-40fa-881d-142629905f8a,Luana Stanciu,F,129,0.000398,0.009648,0.041,0.000644,0.004462
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,645,0.000602,0.003894,0.155,0.000643,0.003080
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,354,0.000517,0.005195,0.100,0.000617,0.003615
8a71d348-6401-4068-bedd-f4ed30460d2f,Andrew Caldarella,M,70,-0.000427,0.015864,-0.027,0.000607,0.004797
d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,189,0.000351,0.007540,0.046,0.000600,0.004186
a973d880-71ca-48d1-b127-a7e23afd5a19,Matthew Mead,M,98,-0.000141,0.009437,-0.015,0.000522,0.004440
9db29a7a-1fce-4394-a1f0-a5fbd2bc2e7b,Jake Anderson,M,123,-0.000003,0.008006,-0.000,0.000509,0.004261
8cefb109-0044-4545-a5c3-0cfb4df51612,Tavon Morrow,M,72,-0.000831,0.012429,-0.067,0.000494,0.004665
91846d4e-67fb-4891-87a6-bed8362b8e2c,Olivia Phillips,F,67,-0.001103,0.013372,-0.082,0.000486,0.004710
dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Luc Pham,M,164,-0.000068,0.007495,-0.009,0.000469,0.004178
c3b08889-9218-45d7-a712-72d78dd9a0bb,Tanner Tomassi,M,100,-0.000954,0.011636,-0.082,0.000449,0.004619
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,857,0.000243,0.003888,0.063,0.000418,0.003076
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,639,0.000174,0.004032,0.043,0.000384,0.003147
03db4060-fcb3-41f7-83d5-7ee732dd8841,Jade Rau,F,126,-0.000871,0.008930,-0.098,0.000330,0.004384
337c76f4-2e83-4a59-b66b-7dc2e0555ce2,Cassidy Hoag,F,99,-0.001216,0.010112,-0.120,0.000328,0.004505
7867cc51-11d1-471f-a8bb-9d8370b6a698,Nicholas Wade,M,74,-0.001783,0.010619,-0.168,0.000254,0.004548
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,109,-0.001371,0.009336,-0.147,0.000242,0.004430
f51d6dfa-5101-49d8-aea5-269e481e1918,Helen To,F,62,-0.003721,0.013845,-0.269,0.000194,0.004730
f0484f0e-f240-4b6f-9da5-b6dba3fa370e,Kenta Miyoshi,M,102,-0.001754,0.009720,-0.180,0.000190,0.004469
5ff7095c-6dc7-4534-8e29-1b62c6f66bba,Felicity Di Laura,F,60,-0.005671,0.016428,-0.345,0.000164,0.004812
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,494,-0.000355,0.004747,-0.075,0.000147,0.003453
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,710,-0.000246,0.004019,-0.061,0.000127,0.003140
be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,F,192,-0.001191,0.007412,-0.161,0.000111,0.004163
9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,183,-0.001325,0.007228,-0.183,0.000046,0.004130
cd1bf109-4907-4208-bca1-4d12f9494a4c,Casey Diamond,M,124,-0.002455,0.009669,-0.254,0.000036,0.004464
69633ccf-87be-4975-a578-53d6e166c91b,Wil Shaffer,M,116,-0.002827,0.010331,-0.274,0.000032,0.004524
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,M,305,-0.000891,0.005676,-0.157,0.000006,0.003766
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,443,-0.000839,0.005338,-0.157,-0.000018,0.003662
b6fe1237-b049-405c-a641-d57f8170a9a0,Albie Huang,F,110,-0.002302,0.008857,-0.260,-0.000024,0.004375
f03d156f-3d8a-4830-a5d1-ae4372ad5009,Wesley Burrows,M,223,-0.001696,0.007546,-0.225,-0.000030,0.004187
ebb2a1e0-7c6c-48a4-b994-e81edd8ddb97,Patrick Smith,M,220,-0.001292,0.006449,-0.200,-0.000047,0.003967
1bbc9415-96dd-4751-9513-95274c5fc0f9,Nicole Eugenio,F,65,-0.004314,0.011519,-0.375,-0.000094,0.004612
