uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,2543,4914,-0.0313,-0.0732,0.028,-0.0937,-0.1046,-0.0657,0.0389,0.1018,0.38,0.0349,286,332,0.0042,0.0485
167e7a23-c919-460b-8586-a3966f588dcb,Hong Kit Wong,M,1013,2078,0.0077,0.0263,0.0492,0.0231,0.034,0.0724,0.0383,0.1614,0.24,-0.104,288,533,-0.1661,0.1868
3cab1673-2522-4dd5-ba07-2a1b88749d86,Tristan Dussault,M,972,1929,0.1065,-0.0472,0.1901,-0.0925,0.0593,0.0976,0.0383,0.1616,0.24,-0.2144,287,665,0.0788,-0.2104
f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,3517,6901,0.0079,0.0359,0.0671,0.014,0.0438,0.0811,0.0373,0.0849,0.44,-0.0506,289,454,-0.1152,0.0333
25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,1648,3461,0.0698,-0.1162,0.0293,-0.0389,-0.0464,-0.0096,0.0368,0.1244,0.3,-0.0618,290,470,-0.1214,0.1035
008a1230-584f-429a-bafe-5c6ec6488123,Allison Chuang,F,191,400,0.0596,0.0276,0.0999,0.0238,0.0873,0.1237,0.0364,0.252,0.14,0.0648,291,283,0.0147,-0.0518
21787278-0f3a-4bcd-9d1f-e73deac5d400,Averry Chew,F,243,465,-0.1509,0.1089,0.0742,-0.0797,-0.0419,-0.0055,0.0364,0.248,0.15,0.0547,292,299,0.0419,-0.0238
a92239e2-429d-4a0a-85b7-58cac29488ee,Jordan Chrysostom,M,947,1939,-0.0563,-0.0576,-0.1004,0.0215,-0.1138,-0.0789,0.0349,0.1678,0.21,0.0654,293,280,-0.1148,0.025
89aaafba-7d47-4938-b918-b960dff5bebc,Ryan Finley,M,382,713,0.0902,-0.0041,0.0713,0.0496,0.0861,0.1209,0.0348,0.2252,0.15,-0.0725,294,484,0.0147,0.1508
66cb85be-fe8b-402d-a4f7-4a8e6a7c3ad7,Lucas Pascoe,M,759,1505,-0.0612,-0.0116,0.0083,-0.0474,-0.0728,-0.0391,0.0337,0.1702,0.2,0.0985,295,238,0.0757,-0.0421
