uuid,name,gender,n,attack,attack_se,defend,defend_se,level_serve,level_return,total
ca3c21b0-a715-40fd-bf00-c81e22d7da11,Daniel De la Rosa,M,10046,0.14671624129300595,0.029109093445665334,0.13274526607873965,0.028059581323850218,-0.003322196085007683,0.05037028117993431,0.2794615073717456
4b6abf90-6e87-49af-b365-0c6135b55a5f,Erik Lange,M,733,0.15006417102439756,0.07368174557861404,0.12854622089927598,0.07220358448587776,0.2044743515943759,-0.06939041554022245,0.27861039192367354
29e8121d-6f86-4192-b7af-ab05b77b89fe,Ting Chieh Wei,F,9786,0.12899408393694484,0.0299875504859061,0.1442567173348643,0.02932931894957418,-0.044803735255156685,0.03676480694254236,0.2732508012718091
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,8383,0.1850088834348819,0.03223512145945563,0.08141574967755857,0.03272168159412424,-0.018747724153351866,0.08474014792555772,0.26642463311244047
bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,5512,0.10375587971016695,0.04011639422211041,0.1619796526212638,0.039064955236522196,-0.0017251594969556827,0.05195108632419934,0.26573553233143077
a226291c-c48b-408b-a846-f45400d313a9,Alexa Schull,F,3190,0.14075145269052836,0.04513910607921857,0.12390660983717998,0.04896356188789459,0.167616651436607,-0.021025007060610428,0.26465806252770835
6160a7c7-6b90-41f1-96d3-af5fa1623ca5,Collin Johns,M,19255,0.1345323060978135,0.020884312885191533,0.12963167345832635,0.021309743304220405,0.035250932998602824,0.06396867941642177,0.26416397955613985
7af5cd0a-26b8-4424-b743-ed83d4a1c201,Richard Livornese Jr,M,1246,0.16805513210429424,0.06630680050691956,0.0960044262055566,0.06590029775200383,-0.08998128102188663,0.16494454048032034,0.26405955830985084
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,7168,0.1241847951291203,0.03467324545594568,0.13828975804339408,0.03464294482999216,0.005144105757995001,0.08325767397639294,0.2624745531725144
34049405-b415-4f3a-aade-5be0111ac7db,Bruno Faletto,M,2524,0.14485841399838334,0.05285832999640739,0.11119490727139426,0.04997132203459437,-0.024873547838532028,0.027872038775539933,0.2560533212697776
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,9375,0.12411414322928567,0.02986094303441642,0.13068323114193126,0.03100228334041173,0.03623934232279631,0.03987361142438658,0.2547973743712169
925c1306-6b3b-4510-8482-f34168a0842a,Roscoe Bellamy,M,13944,0.1120474457347359,0.02478360193963394,0.13670571048230393,0.02440864798328285,0.007916797913787117,0.027624818720027547,0.24875315621703983
3270dc72-53b7-4d35-aa4c-7f8b7b6bf905,Matthew Barlow,M,2112,0.12741457840679163,0.05775911533229096,0.11739839215140009,0.05480579986296115,0.04821833537029607,-0.042657011053588406,0.24481297055819173
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,9986,0.148312679021308,0.02944360868516594,0.09647111028843297,0.029469802189191034,0.03329645083974179,-0.006468152067043795,0.24478378930974098
d3e486f2-7c25-4bcf-b9dd-81c14f644f60,Etienne Blaszkewycz,M,6375,0.08380544716788485,0.03718722465436536,0.1608096088132985,0.036534207722468036,-0.04093814099816515,0.04845159815896383,0.24461505598118335
3ad652aa-3fdd-4e53-8f34-dfdedc3c1901,Christine Maddox,F,2393,0.10129738696573924,0.056662535773125425,0.13971670908847963,0.055564065187313556,-0.012076014747970803,0.05378485924604611,0.24101409605421886
a067b12b-b26b-4a30-aed8-0f707c52beaa,Mark Dancuart,M,1632,0.09323963956629316,0.05762130331853614,0.14774594373056224,0.060486384040690844,-0.10995242562455765,0.2672769953454481,0.2409855832968554
aec5d8be-9ce0-4cc5-98a4-140fad555fe0,Donald Young,M,11326,0.12476821760869028,0.027286640117427666,0.1132608786400727,0.027167835350618303,0.02096739996718234,0.02374092971411451,0.23802909624876298
06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,16735,0.13367713236471399,0.022637644543905194,0.10373569376821434,0.02229124256679186,0.005065536400698659,0.06691407660217154,0.23741282613292833
6866df42-48ad-423c-9e57-d7d4d6fb66ef,Vanshik Kapadia,M,1037,0.057652452488061695,0.07173370893960111,0.17637147640909123,0.06703390570705013,0.09031693587046817,0.05702289831518003,0.23402392889715293
698c5236-e88f-411c-b44f-e54f16b2d6b5,George Wall,M,2137,0.14197999008296272,0.055799092512817054,0.09142695065283038,0.054539285365381884,0.09416337025851551,0.05891581090913886,0.2334069407357931
76419f3a-712c-4241-8940-6f9bda847ba7,Lauren Stratman,F,15510,0.11085601624659559,0.023738426308573667,0.12134986979753765,0.02396998282634287,-0.02521935426340709,0.07534258239736803,0.23220588604413323
763b4d27-8140-47cd-86f5-982706cd4ebb,Michael Loyd,M,15359,0.11169973373820637,0.023827759767146673,0.11648785844056217,0.02384612083387889,-0.0068668461154633995,0.05378753242569929,0.22818759217876855
2177a8cd-bc2d-4dfd-a6ed-e80eb7bf1cc6,Luke Williams,M,965,0.07396552754024908,0.07200464355270143,0.15159360992694856,0.07177936323471909,0.17675424959664887,0.03555508347015791,0.22555913746719763
7cb07784-a295-4038-b712-ec86ecd70c39,Michelle Esquivel,F,4603,0.10981536510403353,0.04126056720022769,0.11481972648280166,0.04138903416564326,0.01855382645611891,0.08263258960966822,0.2246350915868352
