p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Ethan Violette,Jase Edwards,mens,3,-0.083,0.483,0.438,12.0
Brooke Buckner,Pablo Tellez,mixed,27,-0.096,0.426,0.424,9.3
Rafa Hewett,Genie Bouchard,mixed,4,0.012,0.496,0.503,63.0
Austin Bricker,Camila Zilveti,mixed,4,-0.028,0.523,0.498,40.3
Luana Stanciu,Wil Shaffer,mixed,2,0.017,0.493,0.499,64.8
Juan Benitez,Brooke Caruso,mixed,5,-0.0,0.462,0.496,56.7
Jorja Johnson,JW Johnson,mixed,95,-0.13,0.429,0.378,3.8
Etta Tuionetoa,Hunter Johnson,mixed,6,-0.033,0.461,0.473,36.7
Tamaryn Emmrich,Grayson Goldin,mixed,4,-0.135,0.469,0.389,3.5
Eric Oncins,Meghan Dizon,mixed,20,0.096,0.457,0.586,88.0
Collin Johns,Albie Huang,mixed,19,0.136,0.472,0.609,93.2
Ashley Griffith,John Cincola,mixed,2,-0.071,0.499,0.448,16.1
Max Freeman,Milan Rane,mixed,4,0.029,0.453,0.525,70.0
Armaan Bhatia,Mya Bui,mixed,4,-0.139,0.476,0.394,3.2
Riley Newman,Cailyn Campbell,mixed,26,0.131,0.46,0.603,93.0
Tom Protzek,Allison Phillips,mixed,10,0.046,0.461,0.534,75.8
Jaikin Gomez,Mouaad Alhouni,mens,21,-0.007,0.436,0.481,53.0
David Litvinov,Angel Hernandez,mens,6,0.008,0.466,0.509,61.1
Ross Whittaker,Ava Ignatowich,mixed,2,-0.001,0.474,0.499,56.3
Lucy Kovalova,Matt Wright,mixed,24,0.248,0.496,0.699,98.6
Tyler Loong,Kiora Kunimoto,mixed,6,0.03,0.482,0.524,70.2
Naveen Beasley,Rio Newcombe,mens,4,0.122,0.456,0.591,92.1
Ting Chieh Wei,Anderson Scarpa,mixed,4,0.009,0.48,0.511,61.6
Zoeya Khan,Brandon French,mixed,2,-0.012,0.452,0.494,49.8
Noe Khlif,Tina Pisnik,mixed,46,-0.002,0.405,0.488,56.0
Callie Smith,CJ Klinger,mixed,11,0.162,0.465,0.631,95.5
Rachel Rettger,Wesley Burrows,mixed,4,0.075,0.49,0.559,84.0
Andre Mercado,Isabella Dunlap,mixed,2,-0.198,0.484,0.366,0.7
Luc Pham,Giovanna Morelli,mixed,4,0.262,0.512,0.693,98.8
Anna Bright,Hayden Patriquin,mixed,138,0.112,0.455,0.584,90.9
Nicole Conard,Pesa Teoni,mixed,12,0.041,0.466,0.529,73.9
Blaine Hovenier,Jade Kawamoto,mixed,5,-0.216,0.491,0.334,0.4
Marshall Brown,Olivia McMillan,mixed,6,0.132,0.434,0.624,93.1
Albert Wan,Dylan Goldman,mens,3,-0.011,0.468,0.494,50.6
Roscoe Bellamy,Alex Walker,mixed,3,-0.007,0.465,0.484,52.7
Donald Young,Lindsey Newman,mixed,5,0.009,0.477,0.514,61.3
Chuck Taylor,Abbigal Hatton,mixed,3,-0.036,0.456,0.469,35.1
Craig Johnson,Audrey Adele Brown,mixed,5,0.025,0.479,0.509,68.6
Zane Navratil,Lina Padegimaite,mixed,6,-0.167,0.529,0.387,1.7
Lingwei Kong,Michael Loyd,mixed,4,0.057,0.489,0.551,79.1
Julian Arnold,Lauren Stratman,mixed,11,-0.075,0.454,0.424,14.9
Yates Johnson,Samantha Parker,mixed,2,-0.038,0.477,0.468,33.4
Rachel Rohrabacher,Will Howells,mixed,8,0.14,0.439,0.618,93.8
Christa Gecheva,Yuta Funemizu,mixed,22,-0.129,0.458,0.37,4.0
Allyce Jones,Connor Garnett,mixed,45,0.105,0.454,0.566,89.8
Eric Roddy,Marcela Aguila Ampon,mixed,2,-0.007,0.505,0.508,52.7
Anna Leigh Waters,Ben Johns,mixed,111,-0.02,0.431,0.476,45.6
Jay Devilliers,Jessie Irvine,mixed,44,0.16,0.419,0.636,95.3
Liz Truluck,Martin Emmrich,mixed,5,-0.223,0.476,0.318,0.3
Mary Brascia,Wyatt Stone,mixed,15,0.092,0.463,0.584,87.2
Jack Sock,Mari Humberg,mixed,10,-0.021,0.465,0.481,45.0
Hannah Blatt,Christopher Haworth,mixed,4,0.061,0.45,0.556,80.6
Abigail Okelley,Stevie Petropouleas,womens,2,-0.059,0.503,0.461,22.0
Kaitlyn Christian,Travis Rettenmaier,mixed,4,0.063,0.52,0.569,81.3
Chloe Igleski,Darrian Young,mixed,9,-0.076,0.486,0.446,14.4
Kate Fahey,Federico Staksrud,mixed,78,0.149,0.427,0.621,94.5
Tyler Loong,Brandon French,mens,8,0.042,0.473,0.547,74.2
Rachel Rohrabacher,Catherine Parenteau,womens,61,0.181,0.441,0.653,96.4
Abbigal Hatton,Albie Huang,womens,7,0.112,0.48,0.591,91.0
Ben Johns,Gabriel Tardio,mens,113,-0.071,0.421,0.441,15.9
Tam Trinh,Juan Benitez,mens,4,0.008,0.483,0.507,61.0
Julian Arnold,Patrick Smith,mens,8,0.222,0.503,0.651,97.9
Luana Stanciu,Rachel Rettger,womens,4,-0.047,0.458,0.463,28.3
Ella Yeh,Jaeda Minniefield,womens,4,0.032,0.477,0.519,70.7
Elsie Hendershot,Ella Cosma,womens,2,0.001,0.472,0.496,57.4
Hunter Johnson,Wyatt Stone,mens,7,-0.039,0.438,0.47,32.7
Hannah Blatt,Allison Phillips,womens,7,-0.114,0.488,0.414,5.9
Samantha Parker,Christa Gecheva,womens,12,0.111,0.474,0.578,90.8
