p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Michael Loyd,Camden Chaffin,mens,2,-0.064,0.399,0.436,6.4
Tama Shimabukuro,Tyler Loong,mens,4,-0.035,0.418,0.481,24.7
Will Mackinnon,Rafael Lenhard,mens,6,-0.197,0.536,0.365,0.0
AJ Koller,John Lucian Goins,mens,5,-0.003,0.396,0.5,51.8
Kaitlyn Christian,Nicolas Acevedo,mixed,6,0.092,0.428,0.576,95.5
Etta Tuionetoa,Tyler Loong,mixed,4,0.008,0.383,0.513,60.0
Tama Shimabukuro,Victoria Dimuzio,mixed,1,0.02,0.391,0.51,69.7
Eric Oncins,Nicolas Acevedo,mens,8,-0.015,0.412,0.486,41.9
Elsie Hendershot,AJ Koller,mixed,6,0.022,0.405,0.522,71.0
Eric Oncins,Lea Jansen,mixed,8,0.119,0.421,0.591,98.6
Rafa Hewett,Nicolas Acevedo,mens,1,-0.016,0.418,0.489,41.0
Stefan Auvergne,Hannah Blatt,mixed,1,-0.061,0.454,0.463,7.5
Callie Smith,Chao Yi Wang,womens,10,0.07,0.379,0.579,90.8
Allison Phillips,Camden Chaffin,mixed,4,-0.024,0.374,0.488,32.4
AJ Koller,Emma Nelson,mixed,3,-0.013,0.41,0.489,42.8
Riley Newman,Christopher Haworth,mens,1,-0.035,0.423,0.467,24.3
Estee Widdershoven,Anderson Scarpa,mixed,2,-0.078,0.449,0.454,3.8
Allison Phillips,Michael Loyd,mixed,3,0.033,0.436,0.509,77.8
Daria Walczak,Allison Phillips,womens,6,0.004,0.382,0.509,58.0
Marina Sicic,Evie Kenna,womens,11,0.061,0.425,0.54,88.8
Veronica Baldi,Antonella Sonda,womens,5,-0.041,0.412,0.458,18.0
Masa Grgan,Viktoria Kanichova,womens,4,0.025,0.403,0.516,73.5
Anna Marija Bukina,Kristiin Mets,womens,4,-0.023,0.391,0.474,33.8
Boris Paque,James Ling,mens,6,0.015,0.41,0.514,66.2
Alex Rosa,Raymond Lawton,mens,2,-0.03,0.387,0.471,28.5
Marcela Donatoni,Olivia McMillan,womens,8,0.055,0.4,0.546,87.0
María Fernández Costantino,Sabrina Mendez Dominguez,womens,5,0.058,0.438,0.552,87.9
Tom Protzek,Louis Laville,mens,12,0.098,0.424,0.57,96.5
Bálint Bakó,Mateusz Matysik,mens,7,0.077,0.451,0.547,92.7
Blake Goodman,Daniel Miron,mens,14,0.065,0.399,0.548,89.7
Alessandro Enea,Matteo Eren Enea,mens,2,-0.067,0.416,0.436,5.5
Pep Canyadell Fabregas,Rosen Naydenov,mens,10,0.055,0.396,0.529,86.7
Hector Sanchez Vidal,Jesus Garcia Garre,mens,5,0.051,0.44,0.535,84.8
Ben Cawston,Theo Platel,mens,15,0.104,0.442,0.586,97.4
Rupf Anna,Fruzsina Szeli,womens,2,-0.053,0.417,0.462,10.2
Giovanna Mandon,Marina Alcaide,womens,5,0.022,0.43,0.518,70.7
Dora Kurdi,Chloe Diskin,womens,5,-0.039,0.409,0.467,20.6
Francesca Rumi,Klara Thell-Lenntorp,womens,6,0.055,0.432,0.544,86.5
Claudia Caymel Romero,Katie Morris,womens,10,0.072,0.381,0.556,91.4
Piercarlo Usai,Marcello Bettinelli,mens,4,0.009,0.383,0.501,60.4
Demetrio De Vito,Umberto Vivaldi,mens,2,-0.064,0.438,0.434,6.3
Cyril Peltier,Mikołaj Biedermann,mens,7,0.071,0.429,0.551,91.0
Pedro Antonio Díaz Adrover,David Palkovský,mens,2,-0.007,0.416,0.496,48.1
Stephanie Vennemann-Kohls,Anna-Lena Straub,womens,2,-0.057,0.408,0.449,8.5
Kristina Jensen,Vittoria De Pasquale,womens,4,-0.008,0.413,0.503,46.4
Alexandra Zapletalová,Gabriela Leova,womens,2,0.004,0.403,0.5,57.9
Francesco Gallo,Lorenzo Lanza,mens,2,-0.039,0.394,0.474,20.4
Mireia Rh,Karina Zustakova,womens,5,0.001,0.389,0.491,55.8
Valentina Sudati,Alessia Rossetti,womens,3,-0.008,0.396,0.497,46.8
Caroline Nothnagel,Karolina Owczarek,womens,2,-0.051,0.426,0.482,12.1
Stefan Grubmueller,Davide Vendrame,mens,4,-0.006,0.383,0.499,48.9
Robinn Sander,Gustaf Geterud II,mens,2,-0.031,0.442,0.472,27.6
Krisztian Kaszoni,Kenneth Suarez,mens,2,-0.08,0.412,0.434,3.7
Matteo Cugliari,Bastian Grau,mens,4,0.011,0.425,0.508,62.6
Andrea Bosi,Alberto Seccia,mens,5,0.015,0.439,0.511,65.9
Karlo Krstanovic,Marko Lovrinovic,mens,2,-0.041,0.446,0.481,18.7
Henrikas Traskin,Felix Grunert,mens,4,0.016,0.418,0.511,66.7
Diana Toia,Rosalba Cucci,womens,2,-0.097,0.448,0.426,1.3
Natascia Sciolti,Paola Tampieri,womens,4,-0.004,0.384,0.489,50.6
Alex Serrano Ruano,David Illescas Cases,mens,2,0.024,0.427,0.524,72.9
Armando Ferreira,Kym Sze,mens,7,0.012,0.44,0.501,63.2
Filippo Rossetti,Luca Romanelli,mens,2,-0.045,0.419,0.469,16.2
Hrvoje Radić,Luka Krstanovic,mens,2,-0.085,0.413,0.441,2.7
Raquel Amaro,Sara Chumillas,womens,3,-0.023,0.4,0.488,33.6
Gabriele Silvestri,Wojciech (voyteck) Kmiecik,mens,2,-0.035,0.4,0.474,24.4
María Pintor Rodríguez,Clara Contis,womens,2,-0.038,0.419,0.466,21.2
Gabriele Camasta,Eugenio Fara,mens,2,-0.021,0.396,0.486,35.7
Alexsander Benica,Jonah Edelson,mens,2,-0.067,0.412,0.447,5.4
Riku Owari,Zen Yoshida,mens,2,-0.016,0.404,0.494,40.5
Riley Newman,Jackie Kawamoto,mixed,10,-0.018,0.41,0.481,38.6
Mateusz Matysik,Klara Thell-Lenntorp,mixed,3,-0.018,0.421,0.484,38.2
Ben Cawston,Katie Morris,mixed,3,0.026,0.405,0.522,73.8
Tom Protzek,Karolina Owczarek,mixed,3,0.006,0.421,0.512,59.0
Claudia Caymel Romero,Pep Canyadell Fabregas,mixed,3,-0.007,0.4,0.497,47.8
Callie Smith,Gabriel Joseph,mixed,2,-0.028,0.406,0.481,30.1
Anna Leigh Waters,Jorja Johnson,womens,12,0.123,0.439,0.595,99.0
Nicole Conard,Abbigal Hatton,womens,4,-0.048,0.436,0.469,14.0
Sofia Sewing,Casey Diamond,mixed,12,0.104,0.427,0.579,97.6
Jack Sock,Gregory Dow,mens,3,-0.052,0.38,0.454,11.3
Catherine Parenteau,Connor Garnett,mixed,8,0.063,0.383,0.559,89.6
Dylan Frazier,Jalina Ingram,mixed,1,-0.019,0.398,0.495,37.9
Aiko Yoshitomi,Wyatt Stone,mixed,4,0.01,0.409,0.512,61.4
Dekel Bar,Tyson McGuffin,mens,5,-0.046,0.419,0.475,15.2
Hannah Blatt,Christian Alshon,mixed,3,0.013,0.426,0.515,64.2
Federico Staksrud,Jorja Johnson,mixed,11,0.112,0.43,0.582,98.2
Aiko Yoshitomi,Darrian Young,mixed,1,-0.002,0.463,0.504,52.7
Sofia Sewing,Tina Pisnik,womens,9,-0.031,0.388,0.459,27.5
Lacy Schneemann,Alex Walker,womens,5,0.016,0.397,0.512,66.8
Yates Johnson,Alex Walker,mixed,3,-0.051,0.406,0.454,12.0
Jack Sock,Lacy Schneemann,mixed,7,0.047,0.422,0.554,83.0
