player_id,platform_rating_latest,n_snapshots
4d8495e4-56da-4aca-925e-b443a717a74a,4.75,1
4d9c2831-6ec5-49dc-9af4-a3c9501c6763,4.69,2
4d9dfee9-8e88-41ca-b643-d0acfe36fd51,4.885,2
4da698bf-605d-4c6c-8566-6bfbdb6c1a24,5.15,1
4e39b9bd-436d-495d-99d7-c2818bbea4ab,5.07,5
4e3bcf37-c264-475d-b956-7c3992d3d7fd,5.91,4
4e681e02-2987-49b1-9f3a-ad0ba28f86ba,4.74,1
4e73b5b4-d734-4258-91cf-b678d08200a9,4.953,6
4e82e645-294f-424e-b1e7-28f93e2cb7cc,5.033,7
4e989038-62d9-48c6-bd15-f483ea33b5be,5.536,4
4ebf78a8-2d54-451d-a45f-42544f6a60f1,4.85,3
4f142e8d-9a57-41cb-a89b-5b4c3af752fa,5.43,15
4f354c8d-e7f5-4457-b35e-6ec64c0a7dcc,5.05,6
4f8057f3-d8f6-417f-b29f-27d77c32da24,3.855,2
4f91b214-a32b-4bce-ba22-0ec6b7021444,4.845,15
4fdcaa8b-8ebf-4cba-b759-d7c8e9d55ec0,6.01,9
507d4427-617b-4607-b842-e3a12dc03d7a,4.958,3
50908953-a944-4a34-898b-16af312bc814,5.632,31
50982c9d-4d95-48ce-8e38-6704fde63599,5.578,4
50c2125b-406c-41e7-aad6-5432c7cd8e1c,5.419,5
50cbdfa9-8c00-4007-8c5e-71c7d560ff6f,5.224,2
50cf53f9-a3ad-495a-8d28-eb9c2e5c970a,5.238,2
5106c31c-ea6c-49ba-81ca-b622b1d7afd1,5.446,9
5152e31b-0c3f-4018-bde6-b954c44530b4,5.24,4
518626d4-2600-4134-8c6a-0ae9315f9625,6.112,36
518d2420-ef49-441e-b8a5-8f4d6e8d2b49,4.325,4
51d3c520-ab59-47b5-87f2-b99ce66b1ad8,4.84,1
51e9dc35-e543-4222-ad12-69697397a975,4.627,2
525bfe63-4047-4100-9289-b4af47a25f98,5.377,16
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,6.204,55
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,5.883,33
52915580-0a12-4791-8f82-6f6e56e90f76,4.95,4
52e042f4-517b-483d-a264-f2f3dfa3f940,5.52,3
53008558-000d-4162-8a34-9348d3f5322a,6.102,7
535a3a44-2564-4f88-8139-b759d6e4f94a,4.62,1
5362def0-0134-4247-8428-d6a5c32ad504,4.96,2
53955191-e756-453e-bf46-162afae7d905,5.081,2
53b056f9-095a-40fa-881d-142629905f8a,4.94,9
53c797c5-058f-4d1b-b82a-247d4f9e6839,4.741,1
53cffd68-8c08-4ad7-88fd-a72ee20d716e,5.71,7
53e6e33c-5cb8-4579-9e8d-8b1857a85f72,4.4,6
53eadec7-a6b1-4ce3-9825-d76affdc3f4f,5.86,18
541bae3b-cb07-4c73-8f7a-42a1e0d38cde,4.663,2
5445e6a0-6641-416d-82ab-181e10b60dc8,4.177,5
545586f8-8e93-44ae-91ae-1d0cb881ecd8,4.67,3
5484221f-688c-4f2d-8ab0-12d262a921ff,4.48,1
54e10359-2a8b-4d52-ad41-0212572c723f,3.753,1
550248f0-e87f-4e76-9d88-9f55c89fb659,4.04,2
5520bc45-676e-45a7-bf34-7d91529fdd63,5.311,15
553bf8c3-919f-496a-b37b-7e34cf5bc1fd,5.283,2
55b78314-2f02-4a0c-83c2-b7cbfd8b4329,5.477,9
55dbee1f-1ee7-464b-9c80-d14cd9e44b8d,5.776,8
55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,5.888,35
565ea94a-af38-47fa-9d07-77a710b73337,5.51,3
56bfd96c-d7a3-4a67-bad6-b53d2830f324,5.647,4
56f0b269-240a-42cb-b404-0b0bf747ad98,5.108,4
5714d0c4-4431-4afa-9e95-11817e9d27d9,5.05,1
571d4503-e073-4580-a555-be3c7f93c59c,5.73,6
57340151-101f-4b4f-962e-4031fffcce98,5.0,1
574957ae-e8d5-486e-aabc-a1cc6a392f8d,5.316,19
5752f097-3f05-4db5-a871-ab2c6b451abd,4.619,1
579b21fd-0bec-4ad6-84ed-32bec62d0e61,4.925,10
57a228a5-e841-4eb4-9d63-8f737a9df1d3,2.5,2
57d81852-8998-4d7c-9ed6-737c404c8650,5.615,1
581183e8-3d9e-459e-b69f-7337d8b6f3d2,6.617,56
5883c77e-d6e0-4848-9473-866396578248,4.845,21
589dfdaa-0f50-4c30-a52d-0cfc140f412c,4.358,1
58a22649-0e13-43fc-8657-d42af3ca2b0a,4.34,2
