idx,player_id,full_name,gender
317,ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M
318,736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Maggie Brascia,F
319,614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,M
320,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F
321,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F
322,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M
323,25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F
324,518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M
325,03db4060-fcb3-41f7-83d5-7ee732dd8841,Jade Rau,F
326,1e5d81dc-961d-455a-b80f-d6c30c518cde,Caden Nemoff,M
327,64a6650b-96f6-4382-8db8-9edcd7838743,Kento Tamaki,M
328,8df7caa9-af2f-4381-833a-f56776546f88,Claudio Quinones Garcia,M
329,2e0c0227-6e3e-43d5-8037-7f8bd0f9b935,Gabriel Joseph,M
330,481d9fef-ed7a-4fc9-9d19-a4f9b5a57d56,Ella Cosma,F
331,9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F
332,d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M
333,6f149538-c6f6-4ad5-9e60-2afc100f97c1,Spartak Rahachou,M
334,22989ac3-e778-487a-ba32-a30243acd294,Christine Trifunovic,F
335,8a71d348-6401-4068-bedd-f4ed30460d2f,Andrew Caldarella,M
336,20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F
337,dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M
338,89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M
339,be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F
340,574957ae-e8d5-486e-aabc-a1cc6a392f8d,Jalina Ingram,F
341,3701f5a0-aa34-4a06-a718-7b223491362e,Ethan Violette,M
342,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M
343,06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F
344,06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M
345,4da698bf-605d-4c6c-8566-6bfbdb6c1a24,Genie Bouchard,F
346,4e39b9bd-436d-495d-99d7-c2818bbea4ab,Camila Zilveti,F
347,53b056f9-095a-40fa-881d-142629905f8a,Luana Stanciu,F
