p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Ivy Tschetter,Emma Nelson,womens,2,0.002,0.263,0.494,58.9
Audrey Adele Brown,Zachary Grabovic,mixed,7,0.074,0.297,0.576,98.8
Ewa Radzikowska,Todd Fought,mixed,7,-0.01,0.248,0.481,35.0
Wesley Miller,Jack Marsh,mens,7,0.011,0.266,0.515,72.4
Chase Ora,Farzin Amiri,mens,3,0.012,0.248,0.514,74.3
Daria Walczak,Christa Gecheva,womens,13,0.013,0.263,0.517,75.0
Polina Libo,Amanda Jarrett,womens,2,0.006,0.259,0.506,65.4
Ashlee Candelaria,Marcela Aguila Ampon,womens,6,0.035,0.261,0.548,92.2
Dalia Garza,Iulia Marcenco,womens,2,-0.009,0.26,0.486,37.1
Zachary Grabovic,Evgeniy Kim,mens,3,-0.025,0.252,0.461,11.8
Jace Morris,Wil Shaffer,mens,5,0.011,0.278,0.509,73.1
Nathan Matthews,Mariano Yeh,mens,4,0.003,0.264,0.514,61.1
Michael Erho,Andy Cusick,mens,2,-0.022,0.25,0.466,15.7
Will Gardner,Rio Newcombe,mens,5,0.008,0.28,0.509,68.0
Jared Call,Jeffrey Moulton,mens,2,-0.014,0.243,0.469,27.0
Jake Denstone,Daniel Schwartz,mens,2,-0.021,0.263,0.487,17.5
Chas Howard,Benjamin Grant,mens,3,0.003,0.283,0.511,60.1
Brandon French,Judit Castillo,mixed,6,-0.02,0.256,0.476,18.9
Carolina Mayorga-Perry,Phillip Locklear,mixed,7,0.024,0.255,0.532,85.8
Christa Gecheva,Augustus Ge,mixed,3,-0.031,0.261,0.456,6.9
Tony Larson,Manny Pasricha,mens,7,-0.003,0.255,0.501,48.9
Audrey Adele Brown,Tatiana Ruhl,womens,7,0.002,0.259,0.504,58.7
Angela Berry,Shea Donahue,womens,2,-0.003,0.27,0.494,49.5
