p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Craig Johnson,Pesa Teoni,mens,59,0.186,0.366,0.684,98.5
Bryce Larson,Clayton Boydston,mens,6,-0.03,0.391,0.489,35.6
Jonny Pickleball Andrews,Luke Wasson,mens,11,0.05,0.412,0.55,79.8
Rafa Hewett,Marshall Brown,mens,9,0.03,0.37,0.531,72.3
Todd Fought,Wyatt Stone,mens,4,-0.019,0.373,0.478,42.2
Yaamunan Venkatesan,Derek Shearer,mens,4,-0.036,0.398,0.46,31.6
Gabriel Joseph,Blaine Hovenier,mens,13,0.058,0.417,0.557,82.8
Samantha Parker,Sarah Williams,womens,3,-0.054,0.397,0.459,18.4
Cassidy Hoag,Martina Frantova,womens,12,-0.017,0.399,0.484,43.4
Benjamin Grant,Dionne Lim,mixed,2,-0.04,0.422,0.461,27.8
Chase Ora,Michelle Murphy,mixed,9,-0.024,0.397,0.476,39.1
Dana Raugust,Luke Ness,mixed,2,0.044,0.397,0.549,77.9
Clemens Graute,Ekaterina Biakina,mixed,14,-0.105,0.377,0.409,4.1
Emilia Schmidt,Jack Munro,mixed,6,-0.002,0.371,0.501,53.7
Malia K Lum,Prycen Haas,mixed,2,-0.109,0.393,0.395,3.6
Tanner Tomassi,Ava Ignatowich,mixed,4,0.048,0.389,0.543,78.9
Erik Pailet,Rianna Valdes,mixed,15,0.069,0.383,0.564,86.2
Jessica Mason,Ryan Fu,mixed,2,-0.054,0.401,0.451,18.7
CJ Klinger,Judit Castillo,mixed,15,0.013,0.378,0.51,62.8
Quang Duong,Jamie Haas,mixed,6,0.034,0.386,0.536,73.6
Carolina Mayorga-Perry,Etienne Blaszkewycz,mixed,5,-0.034,0.388,0.454,32.6
David Hall,Benjamin Grant,mens,2,-0.062,0.401,0.434,15.1
Andrei Daescu,Anna Bright,mixed,16,0.061,0.363,0.561,84.0
Meghan Dizon,Gabriel Tardio,mixed,8,-0.051,0.394,0.459,20.3
Dylan Frazier,Tyra Hurricane Black,mixed,69,-0.056,0.374,0.451,17.6
Liz Truluck,Brandon French,mixed,3,0.064,0.395,0.549,85.1
Jade Kawamoto,Connor Garnett,mixed,5,-0.111,0.383,0.406,3.3
Patrick Kawka,Rachel Rettger,mixed,9,-0.198,0.405,0.329,0.2
Steve Deakin,Camila Garcia Wright,mixed,18,0.04,0.401,0.543,76.5
Rafa Hewett,Lindsey Newman,mixed,2,-0.007,0.389,0.489,51.1
Kate Fahey,John Cincola,mixed,8,0.025,0.377,0.529,69.6
Wesley Burrows,Alex Walker,mixed,3,-0.024,0.384,0.494,39.1
Yates Johnson,Lacy Schneemann,mixed,4,0.022,0.373,0.535,68.3
Genie Bouchard,Jonny Pickleball Andrews,mixed,2,-0.001,0.399,0.513,54.0
Jackie Kawamoto,Patrick Smith,mixed,5,0.014,0.405,0.504,63.7
Kaitlyn Christian,Travis Rettenmaier,mixed,2,-0.102,0.417,0.415,4.5
Samantha Parker,Pesa Teoni,mixed,10,-0.07,0.396,0.451,12.1
Etta Tuionetoa,Tyler Loong,mixed,12,-0.105,0.393,0.386,4.0
Mary Brascia,Jaume Martinez Vich,mixed,50,0.255,0.392,0.732,99.3
Pablo Tellez,Milan Rane,mixed,2,-0.074,0.397,0.428,10.7
Dekel Bar,Gabriel Tardio,mens,9,-0.086,0.398,0.429,6.8
Thomas Wilson,Hunter Johnson,mens,13,-0.114,0.391,0.388,3.0
Yates Johnson,Wesley Burrows,mens,8,0.038,0.344,0.546,75.4
Brooke Revuelta,Emilia Schmidt,womens,4,0.012,0.358,0.506,62.5
Andrei Daescu,Matt Wright,mens,18,0.105,0.401,0.603,93.7
Roscoe Bellamy,Jack Munro,mens,2,-0.01,0.384,0.495,48.2
Mehvish Safdar,Komal Safdar,womens,11,-0.121,0.4,0.38,2.4
Christa Gecheva,Rachel Rettger,womens,3,-0.028,0.404,0.476,36.9
Genie Erokhina,Kaitlyn Christian,womens,10,-0.081,0.377,0.426,8.0
Tam Trinh,Robert Slutsky,mens,6,-0.052,0.406,0.452,19.8
Yana Newell,Lauren Stratman,womens,14,0.09,0.418,0.58,91.3
Jamie Haas,Malia K Lum,womens,6,0.056,0.402,0.553,82.3
Liz Truluck,Ava Ignatowich,womens,2,0.029,0.405,0.524,71.6
