player,game,rally,player_uuid,n_frames,peak_share,peak_inc_ft,terr_mean,terr_end
Anna Bright,"('c4eb30d0', '2')",69,db5eef5c-99dd-49d9-bbfc-65171a366bda,10,0.7354,2.42,0.9082,0.908
Tyra Hurricane Black,"('c4eb30d0', '2')",70,fec65f7e-f2c8-482f-ab5b-541cf53b1064,31,0.5278,0.0,0.5887,0.6269
Christian Alshon,"('c4eb30d0', '2')",70,79a11da1-6aeb-4719-9b1e-9918e0163cec,31,0.5793,0.0,0.4113,0.3731
Anna Bright,"('c4eb30d0', '2')",70,db5eef5c-99dd-49d9-bbfc-65171a366bda,31,0.3848,0.0,0.1679,0.1837
Hayden Patriquin,"('c4eb30d0', '2')",70,fc05556e-3e38-4a38-99c2-f855174a7c28,31,0.7851,2.95,0.8321,0.8163
Tyra Hurricane Black,"('c4eb30d0', '2')",71,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3,0.5926,0.0,1.0,1.0
Christian Alshon,"('c4eb30d0', '2')",71,79a11da1-6aeb-4719-9b1e-9918e0163cec,3,0.4076,0.0,0.0,0.0
Anna Bright,"('c4eb30d0', '2')",71,db5eef5c-99dd-49d9-bbfc-65171a366bda,10,0.7295,2.3,0.8125,0.7442
Hayden Patriquin,"('c4eb30d0', '2')",71,fc05556e-3e38-4a38-99c2-f855174a7c28,10,0.2836,0.0,0.1875,0.2558
Tyra Hurricane Black,"('c4eb30d0', '2')",72,fec65f7e-f2c8-482f-ab5b-541cf53b1064,125,0.5218,0.0,0.7179,0.4177
Christian Alshon,"('c4eb30d0', '2')",72,79a11da1-6aeb-4719-9b1e-9918e0163cec,125,0.7148,0.0,0.2821,0.5823
Anna Bright,"('c4eb30d0', '2')",72,db5eef5c-99dd-49d9-bbfc-65171a366bda,63,0.6237,1.85,0.4201,0.4943
Hayden Patriquin,"('c4eb30d0', '2')",72,fc05556e-3e38-4a38-99c2-f855174a7c28,63,0.7396,2.33,0.5799,0.5057
Tyra Hurricane Black,"('c4eb30d0', '2')",73,fec65f7e-f2c8-482f-ab5b-541cf53b1064,39,0.4305,0.0,0.3845,0.4429
