team_uuid,team_title,franchise,event,lineup_date,matchup_uuid,player_uuid,full_name,gender,slot,singles_games,singles_value_raw,doubles_value,value_used,value_source
f9ffc495-1981-46e8-a6bf-c2f7a9ae9fc9,Team Australia,0,Edward Jones Mid-Season Tournament,2026-07-10,7987df7a-ffa8-40a2-8d9d-9246c623e465,6cbf25ef-655b-4883-91dc-cba9256545a7,Sarah Burr,F,F2,8,0.1582,0.3602,0.3406,imputed
f9ffc495-1981-46e8-a6bf-c2f7a9ae9fc9,Team Australia,0,Edward Jones Mid-Season Tournament,2026-07-10,7987df7a-ffa8-40a2-8d9d-9246c623e465,acf4ae69-cc7f-4a30-a613-c8ca0b80e11c,Zachary Grabovic,M,M1,28,0.9200,0.3296,0.9200,singles
f9ffc495-1981-46e8-a6bf-c2f7a9ae9fc9,Team Australia,0,Edward Jones Mid-Season Tournament,2026-07-10,7987df7a-ffa8-40a2-8d9d-9246c623e465,9e2a5ee1-cdc9-4635-a15a-540ee99192b7,Mitchell Hargreaves,M,M2,48,0.7941,0.3284,0.7941,singles
3a93eba1-5623-4d00-b81b-4911a6942e03,Team Canada,0,Edward Jones Mid-Season Tournament,2026-07-09,77d62a2f-f3a1-46be-9f01-69d7c7ec866f,da841352-6147-45c7-8995-9cc94ff23c7a,Rosie Johanson,F,F1,0,,0.1896,0.1461,imputed
3a93eba1-5623-4d00-b81b-4911a6942e03,Team Canada,0,Edward Jones Mid-Season Tournament,2026-07-09,77d62a2f-f3a1-46be-9f01-69d7c7ec866f,f1c17e16-3c6a-43d6-887a-f307897e3bea,Kim Layton,F,F2,0,,-0.0155,-0.0877,imputed
3a93eba1-5623-4d00-b81b-4911a6942e03,Team Canada,0,Edward Jones Mid-Season Tournament,2026-07-09,77d62a2f-f3a1-46be-9f01-69d7c7ec866f,c84377c6-b0ca-42dd-bc1a-2fd3d3c4ef9f,Ryan Torresin,M,M1,5,0.3755,0.5831,0.5947,imputed
3a93eba1-5623-4d00-b81b-4911a6942e03,Team Canada,0,Edward Jones Mid-Season Tournament,2026-07-09,77d62a2f-f3a1-46be-9f01-69d7c7ec866f,6f3be491-e947-48e5-8ae0-cca7a5347bcb,Kyle Hermetz,M,M2,0,,-0.0396,-0.1151,imputed
1975c3fd-c1b0-4ecc-b1cf-91f8d1f946a7,Team Europe,0,Edward Jones Mid-Season Tournament,2026-07-09,43e8a929-4585-4e09-84bf-69ffe4acf893,01f8bc01-6aa9-45e3-95f2-ba4250adca73,Raquel Amaro,F,F1,7,-0.0200,-0.2481,-0.3528,imputed
1975c3fd-c1b0-4ecc-b1cf-91f8d1f946a7,Team Europe,0,Edward Jones Mid-Season Tournament,2026-07-09,43e8a929-4585-4e09-84bf-69ffe4acf893,d42cfe32-b34c-41aa-b76f-10d2fb5a7f35,Karolina Owczarek,F,F2,0,,-0.2726,-0.3808,imputed
1975c3fd-c1b0-4ecc-b1cf-91f8d1f946a7,Team Europe,0,Edward Jones Mid-Season Tournament,2026-07-09,43e8a929-4585-4e09-84bf-69ffe4acf893,53008558-000d-4162-8a34-9348d3f5322a,Jhonnatan Medina Alvarez,M,M1,111,1.2299,0.2713,1.2299,singles
1975c3fd-c1b0-4ecc-b1cf-91f8d1f946a7,Team Europe,0,Edward Jones Mid-Season Tournament,2026-07-09,43e8a929-4585-4e09-84bf-69ffe4acf893,61e23289-16de-4649-bac7-ae5419006e00,Pep Canyadell Fabregas,M,M2,0,,-0.0636,-0.1425,imputed
db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,F1,408,1.5072,0.7014,1.5072,singles
db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F,F2,474,1.4654,0.6287,1.4654,singles
db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,M1,109,1.2608,0.9479,1.2608,singles
db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,M2,2,0.3078,0.8422,0.8901,imputed
