p1_name,p2_name,chem_logit_mean,chem_logit_sd
Genie Bouchard,Gregory Dow,-0.0017,0.0529
Chuck Taylor,Mario Barrientos,0.0089,0.0507
Michael Loyd,Pesa Teoni,0.0026,0.0513
Kristopher Heddings,Dave Weinbach,0.0065,0.0514
Bobbi Oshiro,Wyatt Stone,0.0118,0.0499
Christine Trifunovic,Marshall Brown,0.0042,0.0506
Mari Humberg,Jorja Johnson,0.0061,0.0483
Joel Cassens,Mota Alhouni,-0.0016,0.0504
Warren Tamanaha,Yaamunan Venkatesan,-0.0131,0.0509
Liz Truluck,Wesley Burrows,-0.0008,0.0517
Jalina Ingram,Melissa Ferger,-0.0023,0.0501
Rafa Hewett,Tyra Hurricane Black,0.0015,0.0509
Tam Trinh,Luke Wasson,-0.0051,0.0519
Phillip Locklear,Steve Deakin,-0.006,0.0501
Ryan Sherry,Ava Ignatowich,0.0054,0.0513
Ivan Jakovljevic,Brandon French,-0.002,0.0489
Mohaned Alhouni,Sammy Lee,0.0169,0.0506
Clayton Powell,Tyler Hong,0.0157,0.0505
Gabriel Joseph,Jericho Grollman,-0.008,0.0529
Milan Rane,Patrick Smith,-0.0006,0.0515
Genie Erokhina,Sarah Ansboury,0.0014,0.0515
Gregory Dow,Anderson Scarpa,0.003,0.0472
Callan Dawson,Dominique Schaefer,-0.005,0.0531
Gabriel Joseph,Camila Zilveti,0.0077,0.0504
Jade Kawamoto,Federico Staksrud,0.0024,0.0497
Spencer Smith,Olivia McMillan,0.0101,0.0509
Quang Duong,Tyler Loong,-0.0033,0.0503
Tamaryn Emmrich,Olivia McMillan,-0.0069,0.0513
Zane Navratil,Allison Phillips,-0.0012,0.0501
Darrian Young,Connor Garnett,0.0089,0.0525
Megan Fudge,Allyce Jones,-0.0033,0.0506
Jessie Irvine,Tina Pisnik,0.0096,0.0496
Parris Todd,Tyra Hurricane Black,0.0442,0.0459
Julian Arnold,Jack Munro,0.005,0.0514
Spencer Smith,Wyatt Stone,0.0024,0.0506
Rafa Hewett,Todd Fought,-0.0055,0.0522
Christian Alshon,Jessie Irvine,0.003,0.0499
Zane Navratil,Christian Alshon,0.0047,0.0523
Irina Tereschenko,Lacy Schneemann,0.0054,0.0497
AJ Koller,Travis Rettenmaier,-0.0085,0.0503
Vivienne David,Anna Bright,-0.0026,0.0511
Lea Jansen,Lauren Stratman,-0.0076,0.0549
Joel Cassens,Jose Gomez,0.0014,0.0528
Lawrence Kasay,David Dutrieuille,-0.0049,0.0527
Holden Ross,Alex Unger,0.0012,0.0529
Cameron Drummond,Jacob Rude,-0.0044,0.0513
Brenton Brakke,Bryant Brakke,-0.0101,0.0525
Jordan Bridge,Andrew Anh Pham,0.0078,0.05
David Zumwalt,Zach Gonnering,-0.008,0.0509
Beau Martin,Daniel Howard,0.0084,0.0517
Marquis Christenson,Sandeep Sharma,-0.0084,0.0485
Maximo Agoglia,Hao Nguyen,0.003,0.0514
