p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Ishan Balakrishnan,Joshua Yoo,mens,10,0.04,0.557,0.526,71.3
Tanner Suard,Blake Suard,mens,2,-0.101,0.549,0.424,11.7
Jackson Ayotte,Jerry Worsham,mens,6,0.065,0.496,0.549,78.6
Chas Howard,Ethan Mahony,mens,2,-0.021,0.539,0.477,46.6
Zach Gonnering,Bret Berryman,mens,9,0.035,0.511,0.514,70.2
Jonathan Truong,Alix Truong,mixed,24,-0.097,0.477,0.412,13.3
Stephen Madonia,Pierina Imparato,mixed,6,-0.026,0.503,0.485,43.9
Eduardo Santini Ayon,Joel Poland,mens,90,0.146,0.498,0.598,91.6
Maggie Brascia,Augustus Ge,mixed,7,-0.186,0.54,0.376,2.2
Ivan Jakovljevic,Judit Castillo,mixed,46,0.442,0.513,0.805,99.7
Christian Alshon,Tyra Hurricane Black,mixed,21,0.201,0.517,0.635,95.7
Ella Yeh,Adam Harvey,mixed,6,-0.037,0.539,0.457,37.6
Jade Rau,Cason Campbell,mixed,4,0.024,0.537,0.509,66.3
Caden Nemoff,Jaeda Minniefield,mixed,2,-0.061,0.509,0.463,26.3
Kento Tamaki,Claudio Quinones Garcia,mens,6,0.04,0.509,0.523,71.3
Gabriel Joseph,Ella Cosma,mixed,6,0.118,0.517,0.596,88.5
Catherine Parenteau,Gabriel Tardio,mixed,79,0.021,0.457,0.521,65.2
Christine Trifunovic,Spartak Rahachou,mixed,4,-0.077,0.535,0.461,19.7
Elsie Hendershot,Andrew Caldarella,mixed,4,0.113,0.542,0.575,88.0
Chao Yi Wang,Tyson McGuffin,mixed,30,-0.034,0.487,0.456,39.5
Dekel Bar,Jackie Kawamoto,mixed,10,-0.013,0.514,0.481,50.6
Jalina Ingram,John Lucian Goins,mixed,15,0.044,0.479,0.52,72.5
Ethan Violette,Jase Edwards,mens,3,-0.08,0.511,0.441,18.5
Brooke Buckner,Pablo Tellez,mixed,27,-0.237,0.508,0.339,0.6
Rafa Hewett,Genie Bouchard,mixed,4,0.086,0.495,0.571,82.4
Austin Bricker,Camila Zilveti,mixed,4,-0.032,0.547,0.486,40.2
Luana Stanciu,Wil Shaffer,mixed,2,0.022,0.528,0.519,65.5
Juan Benitez,Brooke Caruso,mixed,5,0.038,0.531,0.525,70.7
Jorja Johnson,JW Johnson,mixed,95,-0.095,0.471,0.41,13.9
Etta Tuionetoa,Hunter Johnson,mixed,6,-0.009,0.514,0.498,52.7
Tamaryn Emmrich,Grayson Goldin,mixed,4,-0.187,0.508,0.361,2.1
Eric Oncins,Meghan Dizon,mixed,20,0.167,0.498,0.63,93.6
Collin Johns,Albie Huang,mixed,19,0.156,0.51,0.607,92.6
Ashley Griffith,John Cincola,mixed,2,-0.121,0.511,0.41,8.2
Max Freeman,Milan Rane,mixed,4,-0.007,0.519,0.494,53.7
Armaan Bhatia,Mya Bui,mixed,4,-0.115,0.539,0.415,9.1
Riley Newman,Cailyn Campbell,mixed,26,0.102,0.519,0.573,86.0
Tom Protzek,Allison Phillips,mixed,10,0.035,0.488,0.53,70.0
Jaikin Gomez,Mouaad Alhouni,mens,21,0.019,0.523,0.524,64.5
David Litvinov,Angel Hernandez,mens,6,0.008,0.494,0.514,59.9
Ross Whittaker,Ava Ignatowich,mixed,2,0.014,0.537,0.509,62.6
Lucy Kovalova,Matt Wright,mixed,24,0.313,0.528,0.702,98.9
Tyler Loong,Kiora Kunimoto,mixed,6,0.027,0.542,0.504,67.5
Naveen Beasley,Rio Newcombe,mens,4,0.151,0.524,0.604,91.9
Ting Chieh Wei,Anderson Scarpa,mixed,4,0.007,0.553,0.502,59.3
Zoeya Khan,Brandon French,mixed,2,-0.005,0.521,0.5,54.7
Noe Khlif,Tina Pisnik,mixed,46,-0.085,0.471,0.437,16.8
Callie Smith,CJ Klinger,mixed,11,0.155,0.512,0.605,92.3
Rachel Rettger,Wesley Burrows,mixed,4,0.083,0.545,0.556,81.9
Andre Mercado,Isabella Dunlap,mixed,2,-0.197,0.554,0.372,1.7
Luc Pham,Giovanna Morelli,mixed,4,0.26,0.525,0.668,98.0
Anna Bright,Hayden Patriquin,mixed,138,0.096,0.514,0.569,84.8
Nicole Conard,Pesa Teoni,mixed,12,-0.03,0.504,0.471,41.2
Blaine Hovenier,Jade Kawamoto,mixed,5,-0.224,0.53,0.344,0.9
Marshall Brown,Olivia McMillan,mixed,6,0.157,0.526,0.62,92.7
Albert Wan,Dylan Goldman,mens,3,-0.033,0.529,0.475,39.6
Roscoe Bellamy,Alex Walker,mixed,3,-0.0,0.51,0.508,56.4
Donald Young,Lindsey Newman,mixed,5,-0.009,0.508,0.5,52.7
Chuck Taylor,Abbigal Hatton,mixed,3,-0.024,0.497,0.484,44.6
Craig Johnson,Audrey Adele Brown,mixed,5,0.035,0.534,0.528,70.0
Zane Navratil,Lina Padegimaite,mixed,6,-0.214,0.544,0.347,1.1
Lingwei Kong,Michael Loyd,mixed,4,0.059,0.509,0.541,77.0
Julian Arnold,Lauren Stratman,mixed,11,-0.106,0.523,0.413,10.8
Yates Johnson,Samantha Parker,mixed,2,-0.017,0.529,0.504,48.7
Rachel Rohrabacher,Will Howells,mixed,8,0.167,0.526,0.617,93.6
Christa Gecheva,Yuta Funemizu,mixed,22,-0.155,0.51,0.395,4.0
Allyce Jones,Connor Garnett,mixed,45,0.175,0.487,0.626,94.2
Eric Roddy,Marcela Aguila Ampon,mixed,2,-0.034,0.53,0.471,39.3
Anna Leigh Waters,Ben Johns,mixed,111,0.125,0.496,0.599,89.2
Jay Devilliers,Jessie Irvine,mixed,44,0.184,0.479,0.641,94.5
Liz Truluck,Martin Emmrich,mixed,5,-0.244,0.515,0.316,0.5
Mary Brascia,Wyatt Stone,mixed,15,0.081,0.538,0.561,81.4
Jack Sock,Mari Humberg,mixed,10,-0.015,0.492,0.484,49.3
Hannah Blatt,Christopher Haworth,mixed,4,0.072,0.53,0.561,79.9
Abigail Okelley,Stevie Petropouleas,womens,2,-0.094,0.527,0.435,13.9
Kaitlyn Christian,Travis Rettenmaier,mixed,4,0.051,0.542,0.531,74.8
Chloe Igleski,Darrian Young,mixed,9,-0.084,0.514,0.422,17.0
Kate Fahey,Federico Staksrud,mixed,78,0.026,0.465,0.524,67.1
Tyler Loong,Brandon French,mens,8,0.061,0.502,0.542,77.7
Rachel Rohrabacher,Catherine Parenteau,womens,61,0.206,0.479,0.672,96.1
Abbigal Hatton,Albie Huang,womens,7,0.141,0.522,0.599,91.2
Ben Johns,Gabriel Tardio,mens,113,-0.107,0.484,0.419,10.7
Tam Trinh,Juan Benitez,mens,4,0.025,0.54,0.516,66.7
Julian Arnold,Patrick Smith,mens,8,0.312,0.55,0.713,98.8
Luana Stanciu,Rachel Rettger,womens,4,-0.073,0.516,0.451,21.4
Ella Yeh,Jaeda Minniefield,womens,4,0.026,0.54,0.513,67.0
Elsie Hendershot,Ella Cosma,womens,2,0.003,0.534,0.521,57.9
Hunter Johnson,Wyatt Stone,mens,7,-0.033,0.486,0.475,40.0
Hannah Blatt,Allison Phillips,womens,7,-0.14,0.518,0.391,5.5
Samantha Parker,Christa Gecheva,womens,12,0.136,0.491,0.611,90.6
Kate Fahey,Tina Pisnik,womens,7,-0.178,0.521,0.381,2.7
Angie Walker,Alex Walker,womens,22,-0.007,0.48,0.506,53.3
Zoeya Khan,Kiora Kunimoto,womens,3,-0.108,0.513,0.429,10.2
AJ Koller,Jonathan Truong,mens,6,0.025,0.502,0.514,66.9
Jace Morris,Wil Shaffer,mens,5,-0.0,0.494,0.503,56.5
Dylan Frazier,Lea Jansen,mixed,41,0.155,0.488,0.617,92.3
Zane Navratil,Blaine Hovenier,mens,7,0.201,0.515,0.65,95.8
Michael Loyd,Donald Young,mens,6,-0.099,0.523,0.429,12.4
Stephen Madonia,Connor Mogle,mens,9,0.056,0.506,0.537,76.0
Cailyn Campbell,Giovanna Morelli,womens,4,-0.08,0.501,0.438,18.4
Noe Khlif,Will Howells,mens,41,-0.277,0.494,0.279,0.3
Zane Ford,John Lucian Goins,mens,4,-0.073,0.519,0.461,21.2
Daniel Phillips,Chuck Taylor,mens,2,0.017,0.503,0.518,63.9
Armaan Bhatia,Yuta Funemizu,mens,7,0.031,0.513,0.514,68.7
Gabriel Joseph,Spartak Rahachou,mens,6,-0.024,0.492,0.475,44.4
Travis Rettenmaier,Braden Jacobson,mens,6,0.029,0.497,0.514,68.1
Edward Perez,Austin Bricker,mens,7,0.017,0.526,0.519,63.9
Gregory Dow,Anderson Scarpa,mens,28,-0.234,0.52,0.327,0.6
Andre Mercado,Tama Shimabukuro,mens,3,0.117,0.536,0.574,88.4
Angie Walker,James Delgado,mixed,7,-0.22,0.497,0.333,1.0
Mohaned Alhouni,Genie Erokhina,mixed,10,-0.163,0.497,0.364,3.4
Anna Leigh Waters,Anna Bright,womens,98,0.052,0.531,0.538,75.0
Cason Campbell,Adam Harvey,mens,37,0.001,0.483,0.515,57.3
Grayson Goldin,Christopher Haworth,mens,5,0.05,0.515,0.537,74.5
Mohaned Alhouni,Mota Alhouni,mens,3,-0.031,0.533,0.474,40.6
Ross Whittaker,Ivan Jakovljevic,mens,21,0.026,0.471,0.518,67.3
Jack Sock,Pablo Tellez,mens,33,0.252,0.504,0.689,97.7
Roscoe Bellamy,Darrian Young,mens,7,-0.03,0.483,0.47,41.7
Nicole Conard,Isabella Dunlap,womens,29,0.171,0.476,0.639,93.9
Yates Johnson,Marshall Brown,mens,2,-0.055,0.518,0.453,29.2
Christopher Crouch,Anouar Braham,mens,4,-0.023,0.534,0.482,44.8
Andrew Caldarella,John Cincola,mens,2,-0.036,0.516,0.474,38.0
Christian Alshon,Hayden Patriquin,mens,95,-0.209,0.463,0.333,1.3
JW Johnson,CJ Klinger,mens,88,0.368,0.488,0.773,99.4
Craig Johnson,Luke Wasson,mens,2,-0.03,0.513,0.464,41.4
Pesa Teoni,Luc Pham,mens,4,-0.061,0.539,0.454,26.5
Eric Roddy,James Delgado,mens,2,-0.077,0.552,0.436,19.8
Caden Nemoff,Wesley Burrows,mens,2,0.003,0.514,0.509,58.0
Jade Kawamoto,Jackie Kawamoto,womens,29,0.184,0.477,0.65,94.5
Andrei Daescu,Lacy Schneemann,mixed,7,-0.003,0.55,0.508,55.3
Jorja Johnson,Tyra Hurricane Black,womens,83,-0.142,0.47,0.391,5.4
